Timestamp,Air TempC,VPD,Vapor Pressure,Atmos Pressure,Solar,Wetness Level 1,Wetness Level 2,Air.TempC,Vapor.Pressure,Atmos.Pressure,Wetness.Level.1,Wetness.Level.2
2024-04-14T19:00:00Z,NA,NA,NA,NA,49.4,437,437,NA,NA,NA,NA,NA
2024-04-14T19:15:00Z,NA,NA,NA,NA,41.9,437,438,NA,NA,NA,NA,NA
2024-04-14T19:30:00Z,NA,NA,NA,NA,21.4,437,438,NA,NA,NA,NA,NA
2024-04-14T19:45:00Z,NA,NA,NA,NA,12.3,437,438,NA,NA,NA,NA,NA
2024-04-14T20:00:00Z,NA,NA,NA,NA,7.5,437,438,NA,NA,NA,NA,NA
2024-04-14T20:15:00Z,NA,NA,NA,NA,0.7,437,438,NA,NA,NA,NA,NA
2024-04-14T20:30:00Z,NA,NA,NA,NA,0,437,438,NA,NA,NA,NA,NA
2024-04-14T20:45:00Z,NA,NA,NA,NA,0,437,438,NA,NA,NA,NA,NA
2024-04-14T21:00:00Z,NA,NA,NA,NA,0,437,438,NA,NA,NA,NA,NA
2024-04-14T21:15:00Z,NA,NA,NA,NA,0,438,439,NA,NA,NA,NA,NA
2024-04-14T21:30:00Z,NA,NA,NA,NA,0,438,439,NA,NA,NA,NA,NA
2024-04-14T21:45:00Z,NA,NA,NA,NA,0,438,439,NA,NA,NA,NA,NA
2024-04-14T22:00:00Z,NA,NA,NA,NA,0,438,439,NA,NA,NA,NA,NA
2024-04-14T22:15:00Z,NA,NA,NA,NA,0,438,439,NA,NA,NA,NA,NA
2024-04-14T22:30:00Z,NA,NA,NA,NA,0,438,440,NA,NA,NA,NA,NA
2024-04-14T22:45:00Z,NA,NA,NA,NA,0,439,440,NA,NA,NA,NA,NA
2024-04-14T23:00:00Z,NA,NA,NA,NA,0,439,440,NA,NA,NA,NA,NA
2024-04-14T23:15:00Z,NA,NA,NA,NA,0,439,441,NA,NA,NA,NA,NA
2024-04-14T23:30:00Z,NA,NA,NA,NA,0,439,441,NA,NA,NA,NA,NA
2024-04-14T23:45:00Z,NA,NA,NA,NA,0,440,441,NA,NA,NA,NA,NA
2024-04-15T00:00:00Z,NA,NA,NA,NA,0,440,441,NA,NA,NA,NA,NA
2024-04-15T00:15:00Z,NA,NA,NA,NA,0,440,442,NA,NA,NA,NA,NA
2024-04-15T00:30:00Z,NA,NA,NA,NA,0,440,442,NA,NA,NA,NA,NA
