X,Timestamp,VPD.x,Vapor.Pressure.x,Atmos.Pressure.x,Air.TempC.x,Wetness.Level.2,Air.TempC.y,VPD.y,Vapor.Pressure.y,Atmos.Pressure.y,Wetness.Level.1,Solar,Air.TempC,VPD,Vapor.Pressure,Atmos.Pressure
NA,2024-03-13T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.516,NA,NA,NA
NA,2024-03-13T06:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.73,NA,NA,NA
NA,2024-03-13T06:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.074,NA,NA,NA
NA,2024-03-13T06:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.588,NA,NA,NA
NA,2024-03-13T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.103,NA,NA,NA
NA,2024-03-13T07:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.575,NA,NA,NA
NA,2024-03-13T07:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.961,NA,NA,NA
NA,2024-03-13T07:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.39,NA,NA,NA
NA,2024-03-13T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.862,NA,NA,NA
NA,2024-03-13T08:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.12,NA,NA,NA
NA,2024-03-13T08:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.975,NA,NA,NA
NA,2024-03-13T08:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,NA
NA,2024-03-13T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.77,NA,NA,NA
NA,2024-03-13T09:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.784,NA,NA,NA
NA,2024-03-13T09:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.926,NA,NA,NA
NA,2024-03-13T09:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.497,NA,NA,NA
NA,2024-03-13T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.196,NA,NA,NA
NA,2024-03-13T10:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.111,NA,NA,NA
NA,2024-03-13T10:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.411,NA,NA,NA
NA,2024-03-13T10:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.926,NA,NA,NA
NA,2024-03-13T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.156,NA,NA,NA
NA,2024-03-13T11:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.087,NA,NA,NA
NA,2024-03-13T11:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.631,NA,NA,NA
NA,2024-03-13T11:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.948,NA,NA,NA
NA,2024-03-13T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.334,NA,NA,NA
NA,2024-03-13T12:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.849,NA,NA,NA
NA,2024-03-13T12:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.093,NA,NA,NA
NA,2024-03-13T12:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.024,NA,NA,NA
NA,2024-03-13T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.624,NA,NA,NA
NA,2024-03-13T13:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.796,NA,NA,NA
NA,2024-03-13T13:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.924,NA,NA,NA
NA,2024-03-13T13:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.482,NA,NA,NA
NA,2024-03-13T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.654,NA,NA,NA
NA,2024-03-13T14:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.825,NA,NA,NA
NA,2024-03-13T14:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.04,NA,NA,NA
NA,2024-03-13T14:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.254,NA,NA,NA
NA,2024-03-13T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.825,NA,NA,NA
NA,2024-03-13T15:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.169,NA,NA,NA
NA,2024-03-13T15:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.254,NA,NA,NA
NA,2024-03-13T15:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.211,NA,NA,NA
NA,2024-03-13T16:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.769,NA,NA,NA
NA,2024-03-13T16:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.855,NA,NA,NA
NA,2024-03-13T16:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.941,NA,NA,NA
NA,2024-03-13T16:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.284,NA,NA,NA
NA,2024-03-13T17:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.941,NA,NA,NA
NA,2024-03-13T17:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.469,NA,NA,NA
NA,2024-03-13T17:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.383,NA,NA,NA
NA,2024-03-13T17:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.211,NA,NA,NA
NA,2024-03-13T18:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.126,NA,NA,NA
NA,2024-03-13T18:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.697,NA,NA,NA
NA,2024-03-13T18:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.654,NA,NA,NA
NA,2024-03-13T18:45:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.74,NA,NA,NA
NA,2024-03-13T19:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.268,NA,NA,NA
NA,2024-03-13T19:15:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.753,NA,NA,NA
NA,2024-03-13T19:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.066,NA,NA,NA
